Customer_Issues,Repair_Issues
inoperative,faulty
inoperative,loose
not working,loose
noise,inoperative
issues,inoperative
sticking,malfunction
loose,broken
inoperative,defective
cracked,peeling
peeling,failure
peeling,failure
peeling,inoperative
not working,defective
loose,faulty
inoperative,not working
tearing,inoperative
inoperative,loose
peeling,loose
loose,issues
separating,inoperative
peeling,not working
loose,defective
errors,loose
not working,issues
not working,inoperative
not working,noise
inoperative,
loose,
not working,
peeling,
not working,
clicking,
noise,
loose,
not working,
loose,
not working,
peeling,
loose,
not working,
loose,
inoperative,
sticking,
clicking,
noise,
